Distance(au)                    Energy(au)
1.32501251                    -1.174200075856
1.32511256                    -1.174203489264
1.32521261                    -1.174206897714
1.32531266                    -1.174210301213
1.32541271                    -1.174213699758
1.32551276                    -1.174217093353
1.32561281                    -1.174220482
1.32571286                    -1.1742238657
1.32581291                    -1.174227244454
1.32591296                    -1.174230618265
1.32601301                    -1.174233987133
1.32611306                    -1.174237351062
1.32621311                    -1.174240710051
1.32631316                    -1.174244064103
1.32641321                    -1.174247413221
1.32651326                    -1.174250757406
1.32661331                    -1.174254096657
1.32671336                    -1.174257430979
1.32681341                    -1.174260760372
1.32691346                    -1.174264084839
1.32701351                    -1.174267404381
1.32711356                    -1.174270718924
1.32721361                    -1.174274028621
1.32731366                    -1.174277333397
1.32741371                    -1.174280633256
1.32751376                    -1.174283928196
1.32761381                    -1.174287218222
1.32771386                    -1.174290503335
1.32781391                    -1.174293783536
1.32791396                    -1.174297058828
1.32801401                    -1.17430032921
1.32811406                    -1.174303594686
1.32821411                    -1.174306855257
1.32831416                    -1.174310110925
1.32841421                    -1.17431336169
1.32851426                    -1.174316607557
1.32861431                    -1.174319848525
1.32871436                    -1.174323084596
1.32881441                    -1.174326315773
1.32891446                    -1.174329542057
1.32901451                    -1.174332763448
1.32911456                    -1.174335979951
1.32921461                    -1.174339191563
1.32931466                    -1.174342398291
1.32941471                    -1.174345600133
1.32951476                    -1.174348797092
1.32961481                    -1.174351989169
1.32971486                    -1.174355176367
1.32981491                    -1.174358358686
1.32991496                    -1.174361536131
1.33001501                    -1.174364708698
1.33011506                    -1.174367876393
1.33021511                    -1.174371039217
1.33031516                    -1.17437419717
1.33041521                    -1.174377350255
1.33051526                    -1.174380498474
1.33061531                    -1.174383641828
1.33071536                    -1.174386780319
1.33081541                    -1.174389913948
1.33091546                    -1.174393042718
1.33101551                    -1.17439616663
1.33111556                    -1.174399285684
1.33121561                    -1.174402399883
1.33131566                    -1.17440550923
1.33141571                    -1.174408613726
1.33151576                    -1.174411713369
1.33161581                    -1.174414808166
1.33171586                    -1.174417898117
1.33181591                    -1.174420983222
1.33191596                    -1.174424063484
1.33201601                    -1.174427138904
1.33211606                    -1.174430209485
1.33221611                    -1.174433275228
1.33231616                    -1.174436336133
1.33241621                    -1.174439392203
1.33251626                    -1.174442443441
1.33261631                    -1.174445489846
1.33271636                    -1.174448531422
1.33281641                    -1.174451568169
1.33291646                    -1.17445460009
1.33301651                    -1.174457627186
1.33311656                    -1.174460649458
1.33321661                    -1.174463666907
1.33331666                    -1.174466679538
1.33341671                    -1.174469687349
1.33351676                    -1.174472690345
1.33361681                    -1.174475688523
1.33371686                    -1.17447868189
1.33381691                    -1.174481670444
1.33391696                    -1.174484654188
1.33401701                    -1.174487633123
1.33411706                    -1.174490607252
1.33421711                    -1.174493576575
1.33431716                    -1.174496541095
1.33441721                    -1.174499500812
1.33451726                    -1.17450245573
1.33461731                    -1.174505405848
